Class,True Positives,False Positives,True Negatives,False Negatives
b'Acacia dealbata',0,6,3532,4
b'Acanthus mollis',0,4,3534,4
b'Acer campestre',0,10,3525,7
b'Acer monspessulanum',0,6,3526,10
b'Acer palmatum',0,3,3532,7
b'Acer saccharinum',0,7,3532,3
b'Achillea millefolium',0,9,3524,9
b'Achillea ptarmica',0,6,3528,8
b'Aconitum napellus',0,6,3527,9
b'Adonis annua',1,7,3531,3
b'Aesculus hippocastanum',0,6,3533,3
b'Aethionema saxatile',0,2,3535,5
b'Agrimonia eupatoria',0,8,3526,8
b'Ajuga genevensis',0,5,3532,5
b'Ajuga reptans',0,8,3530,4
b'Albizia julibrissin',0,6,3529,7
b'Alcea rosea',0,11,3523,8
b'Alliaria petiolata',0,7,3533,2
b'Allium narcissiflorum',0,5,3530,7
b'Allium polyanthum',0,5,3532,5
b'Allium schoenoprasum',0,6,3528,8
b'Allium sphaerocephalon',0,8,3528,6
b'Allium triquetrum',0,7,3530,5
b'Allium ursinum',0,5,3531,6
b'Alnus cordata',0,7,3528,7
b'Alnus glutinosa',0,4,3531,7
b'Althaea cannabina',0,4,3532,6
b'Althaea officinalis',0,5,3530,7
b'Amelanchier ovalis',0,0,3533,9
b'Anacamptis laxiflora',0,3,3530,9
b'Anacamptis morio',0,11,3527,4
b'Anacamptis pyramidalis',0,4,3533,5
b'Anacyclus clavatus',0,7,3532,3
b'Anarrhinum bellidifolium',0,10,3525,7
b'Anchusa italica',0,6,3531,5
b'Androsace villosa',0,1,3539,2
b'Anemone alpina',0,15,3523,4
b'Anemone coronaria',0,5,3529,8
b'Anemone hepatica',0,5,3534,3
b'Anemone nemorosa',0,3,3534,5
b'Anemone pulsatilla',0,10,3523,9
b'Anemone ranunculoides',0,5,3535,2
b'Anemone rubra',0,3,3535,4
b'Anemone vernalis',0,2,3531,9
b'Anthemis maritima',0,6,3532,4
b'Anthericum liliago',0,9,3527,6
b'Anthriscus sylvestris',0,5,3534,3
b'Anthyllis montana',0,6,3529,7
b'Anthyllis vulneraria',0,5,3528,9
b'Antirrhinum majus',0,7,3528,7
b'Aphyllanthes monspeliensis',0,4,3531,7
b'Aquilegia vulgaris',0,8,3528,6
b'Arbutus unedo',0,5,3531,6
b'Armeria alpina',0,3,3533,6
b'Armeria arenaria',0,4,3533,5
b'Armeria maritima',0,2,3535,5
b'Arnica montana',0,10,3527,5
b'Arum maculatum',0,7,3531,4
b'Asparagus acutifolius',0,8,3527,7
b'Aster alpinus',0,9,3525,8
b'Astrantia major',0,8,3527,7
b'Aucuba japonica',0,9,3528,5
b'Ballota nigra',0,9,3525,8
b'Barbarea vulgaris',0,6,3529,7
b'Bartsia trixago',0,6,3528,8
b'Bellevalia romana',0,3,3534,5
b'Bellis perennis',0,5,3533,4
b'Berberis vulgaris',0,3,3533,6
b'Berteroa incana',0,6,3529,7
b'Betonica officinalis',0,5,3534,3
b'Betula pendula',0,8,3526,8
b'Bidens pilosa',0,7,3528,7
b'Bituminaria bituminosa',0,7,3530,5
b'Blackstonia perfoliata',0,4,3527,11
b'Borago officinalis',0,5,3529,8
b'Broussonetia papyrifera',0,7,3529,6
b'Bryonia cretica',0,5,3532,5
b'Buddleja davidii',0,7,3529,6
b'Buglossoides purpurocaerulea',0,6,3529,7
b'Buxus sempervirens',0,9,3526,7
b'Cakile maritima',0,3,3532,7
b'Calendula arvensis',0,4,3530,8
b'Calendula officinalis',0,12,3524,6
b'Calluna vulgaris',0,3,3534,5
b'Caltha palustris',0,6,3529,7
b'Campanula glomerata',0,8,3525,9
b'Campanula medium',0,8,3527,7
b'Campanula patula',0,5,3531,6
b'Campanula persicifolia',0,6,3530,6
b'Campanula rhomboidalis',0,1,3536,5
b'Campanula scheuchzeri',0,4,3535,3
b'Campanula trachelium',0,7,3527,8
b'Canna indica',0,5,3531,6
b'Capparis spinosa',0,5,3530,7
b'Cardamine amara',0,4,3529,9
b'Cardamine flexuosa',0,7,3528,7
b'Cardamine heptaphylla',0,10,3526,6
b'Cardamine pratensis',0,4,3531,7
b'Catalpa bignonioides',0,5,3530,7
b'Catananche caerulea',0,7,3533,2
b'Centaurea pectinata',0,3,3534,5
b'Centaurium erythraea',0,6,3528,8
b'Centaurium maritimum',0,9,3526,7
b'Centranthus ruber',0,7,3529,6
b'Cephalanthera longifolia',0,4,3535,3
b'Cephalanthera rubra',0,5,3532,5
b'Cerastium glomeratum',0,5,3534,3
b'Cercis siliquastrum',0,4,3530,8
b'Chelidonium majus',0,10,3524,8
b'Cichorium intybus',0,6,3531,5
b'Circaea lutetiana',0,3,3529,10
b'Cirsium palustre',0,6,3533,3
b'Cistus albidus',0,5,3533,4
b'Cistus monspeliensis',0,3,3534,5
b'Cistus salviifolius',1,6,3529,6
b'Clinopodium nepeta',0,9,3526,7
b'Clinopodium vulgare',0,5,3531,6
b'Cneorum tricoccon',0,6,3533,3
b'Cochlearia danica',0,10,3527,5
b'Colutea arborescens',0,4,3534,4
b'Convallaria majalis',0,4,3529,9
b'Convolvulus althaeoides',0,5,3532,5
b'Convolvulus arvensis',0,9,3527,6
b'Convolvulus cantabrica',0,6,3532,4
b'Convolvulus soldanella',0,6,3529,7
b'Coriaria myrtifolia',0,4,3526,12
b'Cornus mas',0,4,3531,7
b'Cornus sanguinea',0,5,3533,4
b'Coronilla glauca',0,6,3533,3
b'Coronilla juncea',0,1,3536,5
b'Coronilla varia',0,4,3532,6
b'Corydalis solida',0,5,3529,8
b'Crataegus azarolus',0,7,3528,7
b'Crataegus germanica',0,4,3532,6
b'Crataegus laevigata',0,4,3532,6
b'Crataegus monogyna',0,6,3530,6
b'Crepis capillaris',0,6,3530,6
b'Crithmum maritimum',0,8,3527,7
b'Crocus nudiflorus',0,7,3530,5
b'Cyanus segetum',0,8,3528,6
b'Cyclamen hederifolium',0,4,3530,8
b'Cydonia oblonga',0,4,3530,8
b'Cymbalaria muralis',0,2,3535,5
b'Cynoglossum creticum',0,7,3530,5
b'Cytisus scoparius',0,5,3531,6
b'Dactylorhiza fuchsii',0,5,3533,4
b'Dactylorhiza incarnata',0,9,3528,5
b'Dactylorhiza maculata',0,4,3531,7
b'Dactylorhiza majalis',0,7,3527,8
b'Dactylorhiza sambucina',0,11,3524,7
b'Daphne cneorum',0,7,3524,11
b'Daphne gnidium',0,8,3530,4
b'Daphne laureola',0,5,3531,6
b'Daphne mezereum',0,4,3529,9
b'Dianthus armeria',0,8,3526,8
b'Dianthus carthusianorum',0,11,3528,3
b'Dicentra spectabilis',0,3,3536,3
b'Digitalis purpurea',0,7,3525,10
b'Dioscorea communis',0,7,3531,4
b'Diospyros kaki',0,6,3530,6
b'Diplotaxis erucoides',0,9,3527,6
b'Diplotaxis tenuifolia',0,10,3530,2
b'Dittrichia viscosa',0,5,3535,2
b'Dorycnium pentaphyllum',0,3,3536,3
b'Draba verna',0,3,3531,8
b'Dryas octopetala',0,8,3529,5
b'Echium vulgare',0,7,3530,5
b'Ephedra distachya',0,3,3535,4
b'Epilobium angustifolium',0,8,3528,6
b'Epilobium dodonaei',0,8,3530,4
b'Epilobium hirsutum',0,5,3532,5
b'Epilobium tetragonum',0,7,3528,7
b'Epipactis atrorubens',0,5,3532,5
b'Epipactis helleborine',0,5,3530,7
b'Eranthis hyemalis',0,8,3529,5
b'Erica cinerea',0,5,3536,1
b'Erica tetralix',0,6,3530,6
